,date,date_jd,ra,dec,lon,lat,lonR,latR
113,2029-Apr-13 22:55,2462240.455,257.17667,-39.35779999999999,8.485037004918718,31.13393365446265,-6.979265822154332,31.136438650588843
114,2029-Apr-13 23:00,2462240.458,254.42595000000003,-39.32022,10.953775045926891,31.408942470830947,-5.4570369169478,31.411492946563165
115,2029-Apr-13 23:05,2462240.462,251.81561,-39.22455,13.313347511913355,31.6263133707714,-4.359577946018987,31.62889719672528
116,2029-Apr-13 23:10,2462240.465,249.34374,-39.07983,15.564687145853064,31.792494514478488,-3.0547671443798663,31.79510870351992
117,2029-Apr-13 23:15,2462240.469,247.00678,-38.89425,17.70980181157195,31.913548232628393,-2.17178726924908,31.916182918665157
118,2029-Apr-13 23:20,2462240.472,244.80002000000002,-38.67512000000001,19.751475209695876,31.99507999477856,-1.0766639093163803,31.997733166121847
119,2029-Apr-13 23:25,2462240.476,242.71791,-38.42886000000001,21.69311676552414,32.04219285569785,-0.39717867195230383,32.04485666179762
120,2029-Apr-13 23:30,2462240.479,240.75438,-38.16109,23.5385602322915,32.05952647382069,0.5016935324914642,32.06219975249905
121,2029-Apr-13 23:35,2462240.483,238.90305999999998,-37.87664,25.291947296745207,32.05122223493656,0.9929031195118,32.05389880918826
122,2029-Apr-13 23:40,2462240.486,237.15749,-37.57964,26.95758323430638,32.020963115227936,1.7119475370580133,32.02364250724856
123,2029-Apr-13 23:45,2462240.49,235.51127999999997,-37.27362999999999,28.539814971161174,31.97203706333353,2.0319821663807094,31.97471441239009
124,2029-Apr-13 23:50,2462240.493,233.95817,-36.96155,30.04301328635472,31.90729667216402,2.588570365528318,31.90997202998379
125,2029-Apr-13 23:55,2462240.497,232.49214,-36.64589,31.47146151201038,31.829268673706853,2.754803591583825,31.83193816568299
126,2029-Apr-14 00:00,2462240.5,231.10744999999997,-36.328720000000004,32.82932640243042,31.74015722278649,3.1660412360463845,31.742821304250462
127,2029-Apr-14 00:05,2462240.503,229.79866,-36.01174,34.12063662662046,31.6418716484779,3.5107163939466686,31.64452895838056
128,2029-Apr-14 00:10,2462240.507,228.56068,-35.69635,35.34922369050014,31.536070610531787,3.4770650483351306,31.53871829995729
129,2029-Apr-14 00:15,2462240.51,227.38869,-35.38369,36.51878747632108,31.424199884340354,3.699979600667028,31.426838810847087
130,2029-Apr-14 00:20,2462240.514,226.27824999999999,-35.07467,37.63278489567518,31.30749096729984,3.551725225350067,31.310118660324207
131,2029-Apr-14 00:25,2462240.517,225.2252,-34.77002000000001,38.69450808169966,31.18701542555652,3.666786378286566,31.18963296703231
132,2029-Apr-14 00:30,2462240.521,224.22567,-34.470310000000005,39.707066472379424,31.063693374152518,3.4170811993059336,31.066298508662662
133,2029-Apr-14 00:35,2462240.524,223.27608,-34.17598000000001,40.67337521350387,30.938314596213935,3.4367167700052663,30.940908604229985
134,2029-Apr-14 00:40,2462240.528,222.37314,-33.88734999999999,41.596148093408715,30.811541175929918,3.097215899475074,30.814121887170554
135,2029-Apr-14 00:45,2462240.531,221.51377000000002,-33.60467,42.47795648819669,30.683964120146623,3.0323413341196854,30.68653300252427
136,2029-Apr-14 00:50,2462240.535,220.69513999999998,-33.32809,43.32119470008581,30.556062027761335,2.6132966056912696,30.55861689707854
137,2029-Apr-14 00:55,2462240.538,219.91462,-33.05771,44.12811115817304,30.428254265629654,2.4735215093475356,30.430796776303776
138,2029-Apr-14 01:00,2462240.542,219.1698,-32.79358,44.90078575181082,30.300893738207833,1.9839053996479403,30.30342161365131
139,2029-Apr-14 01:05,2462240.545,218.45844,-32.53569,45.64117636056114,30.17426267475369,1.777596907185911,30.17677776242607
140,2029-Apr-14 01:10,2462240.549,217.77846,-32.28403,46.35111085794325,30.048630403013576,1.2252336401874286,30.05113027288793
141,2029-Apr-14 01:15,2462240.552,217.12793,-32.038520000000005,47.032310941219954,29.92418439047783,0.9597279990374232,29.926671095966743
142,2029-Apr-14 01:20,2462240.556,216.50509,-31.799090000000003,47.68635111768541,29.801102941190425,0.3514645236106917,29.803573849062992
143,2029-Apr-14 01:25,2462240.559,215.90829,-31.56565,48.31472113344803,29.67953485361177,0.03312299896490635,29.681992237957385
144,2029-Apr-14 01:30,2462240.563,215.33598999999998,-31.338060000000006,48.91883138319435,29.559568713074885,-0.6250758086272867,29.562009699598974
145,2029-Apr-14 01:35,2462240.566,214.78679,-31.116220000000002,49.49996062210161,29.441314296404855,-0.9906632100413049,29.443741392675413
146,2029-Apr-14 01:40,2462240.569,214.25937,-30.9,50.05932892918931,29.324843841988564,-1.3780138962962951,29.327256904969193
147,2029-Apr-14 01:45,2462240.573,213.75249000000002,-30.68924,50.59809642658736,29.21019120229017,-2.1015619956962155,29.212586988981467
148,2029-Apr-14 01:50,2462240.576,213.26504,-30.483830000000005,51.11729466178082,29.097420282649882,-2.529086937111799,29.09980163950524
149,2029-Apr-14 01:55,2462240.58,212.79592999999997,-30.28361,51.617955581809156,28.98654646896772,-3.2907454394884326,28.98890985122984
150,2029-Apr-14 02:00,2462240.583,212.3442,-30.088440000000002,52.1009877417106,28.87758464424741,-3.75444010721651,28.879933166814777
151,2029-Apr-14 02:05,2462240.587,211.90892,-29.89817,52.567279129001356,28.770537462106088,-4.550471150049532,28.772867260672147
152,2029-Apr-14 02:10,2462240.59,211.48923,-29.71267,53.01765069840639,28.66541704191707,-5.046829582930798,28.66773151428189
153,2029-Apr-14 02:15,2462240.594,211.08432000000002,-29.531800000000008,53.452882245876275,28.562218908964827,-5.873923289684342,28.564513861144153
154,2029-Apr-14 02:20,2462240.597,210.69346,-29.35541,53.873682751970065,28.46091622516828,-6.399855529971376,28.463195347163786
155,2029-Apr-14 02:25,2462240.601,210.31592999999998,-29.183370000000004,54.280750543582194,28.36150160704629,-7.255115088275261,28.363760364153464
156,2029-Apr-14 02:30,2462240.604,209.95108,-29.01555,54.67471950336879,28.263956417837324,-7.8078812263077,28.266198804534042
157,2029-Apr-14 02:35,2462240.608,209.59829,-28.851820000000007,55.05619744332886,28.1682578573314,-8.688732625033936,28.170478992175475
158,2029-Apr-14 02:40,2462240.611,209.25699,-28.69205,55.42574633835114,28.074375141261648,-9.265920821478232,28.076579330305854
159,2029-Apr-14 02:45,2462240.615,208.92663,-28.53612,55.783908802025465,27.982284615001376,-10.170089167557705,27.984466625308897
160,2029-Apr-14 02:50,2462240.618,208.60671,-28.383899999999997,56.13118337098256,27.891944578907765,-10.769553206664511,27.894109035056545
161,2029-Apr-14 02:55,2462240.622,208.29673,-28.235290000000003,56.46806349101162,27.803343451706382,-11.695005020749988,27.805484767352688
162,2029-Apr-14 03:00,2462240.625,207.99627,-28.090169999999997,56.79497118406404,27.71643611795669,-12.314837441325494,27.71855924308088
163,2029-Apr-14 03:05,2462240.628,207.70488,-27.94842999999999,57.11235692747664,27.631193333119388,-12.944192469549137,27.633298006629325
164,2029-Apr-14 03:10,2462240.632,207.42216,-27.80997,57.420621573144416,27.54758699931974,-13.898260974067114,27.549667138889816
165,2029-Apr-14 03:15,2462240.635,207.14775,-27.67468,57.72013056879512,27.465572358744733,-14.545493548137244,27.467633373020973
166,2029-Apr-14 03:20,2462240.639,206.88129,-27.542470000000005,58.01124583639144,27.38512462351108,-15.51671179087191,27.387160074239457
167,2029-Apr-14 03:25,2462240.642,206.62242999999998,-27.41324,58.29432294279777,27.306207746704494,-16.180377088442526,27.30822337812202
168,2029-Apr-14 03:30,2462240.646,206.37086,-27.28689,58.56967932367286,27.228778653155707,-17.1673542941993,27.230767672672872
169,2029-Apr-14 03:35,2462240.649,206.12626999999998,-27.16335,58.83762630246444,27.152823898938205,-17.846150163346124,27.1547923880268
170,2029-Apr-14 03:40,2462240.653,205.8884,-27.042520000000003,59.09843404795213,27.078291746129512,-18.847675668262013,27.080232561474897
171,2029-Apr-14 03:45,2462240.656,205.65695,-26.924329999999998,59.352405616810074,27.005167376685158,-19.540447162970224,27.007086936721063
172,2029-Apr-14 03:50,2462240.66,205.43168,-26.80868,59.59979293664836,26.933395782049168,-20.55539279324813,26.935286596896535
173,2029-Apr-14 03:55,2462240.663,205.21235,-26.69552,59.8408369419507,26.862971050361764,-21.26109184972205,26.86483987470312
174,2029-Apr-14 04:00,2462240.667,204.99873,-26.58475,60.07578085191831,26.793836648682703,-22.288480053115165,26.795675650977337
175,2029-Apr-14 04:05,2462240.67,204.79059,-26.476320000000005,60.30485684342218,26.72598510823175,-23.00614691347903,26.7278013782106
176,2029-Apr-14 04:10,2462240.674,204.58773,-26.370139999999996,60.52827733676492,26.659364412080183,-24.045057754124457,26.661149782447488
177,2029-Apr-14 04:15,2462240.677,204.38995,-26.26616,60.7462459485376,26.593961793921135,-24.773831586605752,26.59572368644716
178,2029-Apr-14 04:20,2462240.681,204.19706,-26.164320000000004,60.95895916428097,26.529752952102104,-25.823448406542184,26.53148287165845
179,2029-Apr-14 04:25,2462240.684,204.00889,-26.064539999999997,61.16659874712565,26.466690408639195,-26.56255067194445,26.468396105002288
180,2029-Apr-14 04:30,2462240.688,203.82527,-25.96677,61.369339885415386,26.404756119669806,-27.622138347550333,26.406428774459965
181,2029-Apr-14 04:35,2462240.691,203.64602999999997,-25.87096,61.567358064605,26.343932103843485,-28.370861240302986,26.345579793422495
182,2029-Apr-14 04:40,2462240.694,203.47100999999998,-25.777040000000003,61.76082377399452,26.28417901568551,-29.12413629988663,26.285801433964654
183,2029-Apr-14 04:45,2462240.698,203.30007999999998,-25.684960000000004,61.949873675412626,26.225471617209017,-30.19741283811777,26.227059506168093
184,2029-Apr-14 04:50,2462240.701,203.13308,-25.594670000000004,62.134674147982466,26.16779022989036,-30.95935210676504,26.169352113039583
185,2029-Apr-14 04:55,2462240.705,202.9699,-25.506129999999995,62.315340322576425,26.111115806088947,-32.041010649485656,26.112642123490396
186,2029-Apr-14 05:00,2462240.708,202.81038999999998,-25.419280000000004,62.49203140660133,26.055417105502446,-32.81105811693948,26.056916692541577
187,2029-Apr-14 05:05,2462240.712,202.65443,-25.334069999999997,62.66487498519278,26.00066718737755,-33.90053704564639,26.002130190905177
188,2029-Apr-14 05:10,2462240.715,202.50190999999998,-25.25047,62.83398442202755,25.946856878769786,-34.6781648130156,25.948292439778914
189,2029-Apr-14 05:15,2462240.719,202.35270999999997,-25.16843,62.99948760143824,25.893959283966122,-35.77498204183888,25.89535726672552
190,2029-Apr-14 05:20,2462240.722,202.20673,-25.0879,63.1614928330727,25.8419438463235,-36.55971251626778,25.843313688804376
191,2029-Apr-14 05:25,2462240.726,202.06386999999998,-25.00884,63.32010627986168,25.79078981622463,-37.663416906024054,25.792121109224766
192,2029-Apr-14 05:30,2462240.729,201.92402,-24.93123,63.47543957305606,25.740497881235445,-38.4548176770337,25.741800353925044
193,2029-Apr-14 05:35,2462240.733,201.7871,-24.855009999999996,63.62758388728495,25.691024053795015,-39.564988750441614,25.69228703505068
194,2029-Apr-14 05:40,2462240.736,201.65300000000002,-24.780160000000002,63.77665106513269,25.642369041685782,-40.36265385561342,25.64360254152352
195,2029-Apr-14 05:45,2462240.74,201.52165,-24.706629999999993,63.922720339446045,25.594496828000384,-41.47889720721281,25.59568992538964
196,2029-Apr-14 05:50,2462240.743,201.39295,-24.6344,64.06589387651887,25.547406296477696,-42.28245389193199,25.548569272998723
197,2029-Apr-14 05:55,2462240.747,201.26684,-24.56342,64.20624118296493,25.50105960317744,-43.40441629100445,25.50218129931245
198,2029-Apr-14 06:00,2462240.75,201.14323,-24.493669999999998,64.34385470993199,25.455453803109872,-44.213531091208836,25.45654476157141
