,targetname,datetime_jd,datetime_str,H,G,x,y,z,vx,vy,vz,lighttime,range,range_rate,delta (Rt)
103,99942 Apophis (2004 MN4),2462240.420138889,A.D. 2029-Apr-13 22:05:00.0000,19.09,0.24,-7.947811470487341e-05,0.0002405380135162647,5.400680451928032e-05,0.003730252836100395,0.001806613796612793,0.001032219902112027,1.495982352719375e-06,0.0002590213149487422,0.0007483273318845755,6.090354123464275
104,99942 Apophis (2004 MN4),2462240.423611111,A.D. 2029-Apr-13 22:10:00.0000,19.09,0.24,-6.650291572556677e-05,0.0002467369731690593,5.757405569708443e-05,0.003743012394310019,0.00176404568093466,0.001022467709606951,1.512883148834076e-06,0.0002619475970839242,0.0009360714494740753,6.162495485630644
105,99942 Apophis (2004 MN4),2462240.427083333,A.D. 2029-Apr-13 22:15:00.0000,19.09,0.24,-5.348804434243128e-05,0.0002527889369004313,6.110699522238174e-05,0.003753120161431502,0.001721999964935548,0.001012473925659376,1.533476603964678e-06,0.0002655132433080058,0.001116421608603926,6.249491592914079
106,99942 Apophis (2004 MN4),2462240.430555556,A.D. 2029-Apr-13 22:20:00.0000,19.09,0.24,-4.044251228567305e-05,0.0002586962757422577,6.460496446756838e-05,0.003760696935949209,0.001680790316679283,0.001002341542141013,1.557604520197866e-06,0.0002696908625013959,0.001288432243069974,6.350682815362546
107,99942 Apophis (2004 MN4),2462240.434027778,A.D. 2029-Apr-13 22:25:00.0000,19.09,0.24,-2.7374835516012e-05,0.0002644623707370416,6.806765189859199e-05,0.003765905518589648,0.001640683923141905,0.0009921669594214985,1.585092372767031e-06,0.0002744502366374878,0.00145142010407289,6.465348137257838
108,99942 Apophis (2004 MN4),2462240.4375,A.D. 2029-Apr-13 22:30:00.0000,19.09,0.24,-1.429290905155246e-05,0.0002700914441936638,7.149506518488263e-05,0.003768938793259338,0.001601897846595813,0.000982037267370537,1.615754489527869e-06,0.0002797592175810576,0.001604953809106956,6.592725963746879
109,99942 Apophis (2004 MN4),2462240.440972222,A.D. 2029-Apr-13 22:35:00.0000,19.09,0.24,-1.203922793152826e-06,0.0002755883842463841,7.48874955639864e-05,0.003770008166735743,0.001564598755255051,0.0009720284985135275,1.649398892226197e-06,0.0002855845653278037,0.001748831290968279,6.73203333816716
110,99942 Apophis (2004 MN4),2462240.444444444,A.D. 2029-Apr-13 22:40:00.0000,19.09,0.24,1.188568432578529e-05,0.0002809585734646031,7.824547774742466e-05,0.003769333193218215,0.001528905363932687,0.0009622047917346789,1.685831599790875e-06,0.0002918926930964181,0.001883049357130651,6.882482831939772
111,99942 Apophis (2004 MN4),2462240.447916667,A.D. 2029-Apr-13 22:45:00.0000,19.09,0.24,2.497023702042554e-05,0.000286207729489278,8.156974831356682e-05,0.003767132888553165,0.001494892807880367,0.0009526183277103075,1.724860275629707e-06,0.0002986502988382945,0.002007769344449216,7.043296709234432
112,99942 Apophis (2004 MN4),2462240.451388889,A.D. 2029-Apr-13 22:50:00.0000,19.09,0.24,3.804480944699364e-05,0.0002913417631071844,8.486120496030695e-05,0.003763618943636313,0.001462598188910034,0.0009433098588628442,1.766297175499935e-06,0.0003058248756454845,0.002123282190566269,7.213718243737291
